u,g,r,i,z,Teff,FeH
18.57198,17.38811,17.0029,16.87614,16.82918,6000,-1
23.95333,23.07836,22.31077,20.43094,18.81302,5492,0.13
21.31982,20.99973,20.6406,20.03918,19.46985,3717,-0.2
19.36548,18.94647,19.04925,19.21883,19.35806,7652,0.06
20.36442,18.21354,17.38881,17.11562,17.32,5139,-0.07
19.31302,18.13527,17.67289,17.49996,17.44187,6000,-1
24.85999,20.76403,19.18368,17.93489,17.28289,3717,-0.2
18.32052,17.01957,16.47373,16.26664,16.14915,5613,-0.94
18.91744,17.79122,17.32336,17.11779,17.05456,6000,-2
19.20753,17.87736,17.30583,17.08623,16.96132,5671,-0.18
24.63557,21.09452,19.65397,18.20012,17.52006,3717,-0.2
17.94163,16.54377,15.9877,15.77288,15.65827,5661,-0.37
22.17546,20.6797,19.05067,18.25262,17.77149,3858,-0.06
21.97586,19.37706,18.28957,17.81773,17.61061,4576,-0.39
20.90531,19.46412,19.29238,19.3064,19.24257,7439,-0.26
19.15385,17.74926,17.14627,16.90309,16.78826,5651,-0.32
16.44734,16.29016,16.41673,16.41063,16.46578,7134,-0.07
22.35621,20.09045,18.9492,18.53509,18.19508,4382,-0.28
24.58402,21.56213,20.23029,19.65711,19.46985,3962,-0.36
23.30466,21.55057,19.77635,18.74458,17.96469,3717,-0.2
16.795,16.48688,16.6171,16.96024,17.15216,7652,0.06
21.01499,18.97723,18.07446,17.77197,17.6022,4576,-0.39
20.31563,19.16482,18.77189,18.62169,18.60518,6000,-1.5
23.28336,22.42465,20.79086,19.37067,18.64921,3717,-0.2
23.8525,21.63713,20.66575,20.10193,19.5743,4000,0
19.97005,18.75444,18.59871,18.59942,18.66648,7080,-0.28
16.93548,15.69983,15.29125,15.15576,15.1112,5651,-0.32
18.78711,17.84548,17.48812,17.33874,17.30429,5880,-1.41
16.1107,15.04637,14.69065,14.54143,14.50767,6000,-1
22.26677,20.27297,18.83125,17.67707,17.08196,3717,-0.2
20.89772,19.82295,19.33189,19.43369,19.33144,6000,-2.5
23.91075,21.15034,20.10213,19.59399,19.30303,3890,0.28
18.04258,17.2086,16.90108,16.76781,16.72614,6000,0
18.89974,17.56855,16.98708,16.7599,16.67617,5285,-0.71
21.25458,18.50068,17.37214,16.90114,16.79681,4382,-0.28
16.96421,15.80865,15.39352,15.24668,15.19961,6038,-0.08
22.10131,19.40876,17.90576,17.02771,16.57818,3705,0.6
17.93108,16.80178,16.3884,16.2512,16.22252,5873,-0.45
18.6121,17.72595,17.46131,17.38697,17.38728,6500,-2.5
21.46822,18.94406,17.52623,16.37893,15.97649,3717,-0.2
22.49455,19.51045,18.05265,16.94282,16.43731,3717,-0.2
19.05891,18.1755,17.87623,17.76844,17.77121,6500,-2.5
20.70211,19.61255,19.54512,19.01301,18.90096,6000,-1.5
22.04001,20.08512,19.41037,19.17261,19.03276,5232,0.36
19.02969,18.01302,17.69163,17.54955,17.52267,6000,-1.5
23.69094,21.68455,20.18146,18.95142,18.32436,3717,-0.2
20.84311,19.29285,18.67712,18.43783,18.22308,4861,-0.66
18.89876,17.84892,17.37623,17.18133,17.09175,5324,-0.75
16.60491,15.39469,14.98731,14.84079,14.76996,6155,-0.15
25.74789,23.95312,22.29565,20.17587,19.3847,3717,-0.2
19.08469,18.66875,18.78169,18.881,19.1004,9000,-2.5
19.65456,19.21,18.58412,18.47016,18.47469,6000,0
18.84349,17.86912,17.51667,17.35448,17.31114,6000,-1.5
17.79694,16.69482,16.31643,16.19426,16.14734,6000,-1
18.1342,17.01587,16.60317,16.43698,16.40297,5373,-1.08
17.30171,16.04475,16.09419,16.15114,16.17701,8500,-2
21.80515,18.96441,17.42259,16.63224,16.13205,3858,-0.06
19.2159,18.20716,17.82453,17.71324,17.66754,6000,0
18.67919,18.29638,18.56213,18.82112,19.08725,9000,-2.5
18.34959,17.13665,17.30112,17.45741,17.51397,9500,-1.5
18.80905,18.37338,18.64598,18.83105,19.01808,9000,-2.5
25.17151,22.54563,20.89816,19.87771,19.30861,3690,0.05
19.2428,18.15261,17.73896,17.57965,17.4893,5790,-0.65
23.37236,20.45634,19.03411,18.42357,18.44763,4382,-0.28
20.2135,19.09905,18.96124,18.94537,18.99385,7500,-1
17.96716,16.8582,16.49776,16.34852,16.30215,6000,-1
18.50003,17.24703,17.22732,17.24711,17.28606,7000,-1.5
18.91452,17.8755,17.78611,17.79306,17.83422,7500,-1.5
20.23946,19.21169,19.0903,19.09329,19.18728,7500,-1.5
20.0783,19.15906,19.00298,18.97465,19.01297,6808,-1.24
19.84402,18.12074,17.19477,16.96967,16.73331,5651,-0.32
18.22017,17.08461,16.97809,16.96489,16.99841,7500,-1.5
18.17975,17.03661,16.62679,16.47348,16.42721,5621,-1.02
19.95205,19.81438,20.06785,20.4364,20.67054,9000,-2.5
20.15725,19.21421,18.94345,18.84787,18.80722,6000,-2.5
19.64395,18.71848,18.50842,18.43307,18.46238,7000,-1.5
19.79231,18.71778,18.57996,18.55451,18.57279,7500,-1.5
20.22252,18.97054,19.02218,19.09694,19.18351,9500,-2.5
20.50224,20.33775,20.49353,20.72418,20.61263,7652,0.06
18.84483,17.83063,17.46642,17.32321,17.23405,6000,-1.5
17.64894,16.58388,16.22972,16.10134,16.06104,6000,-1
19.56989,18.54183,18.36042,18.28927,18.25508,7000,-1.5
22.29276,25.29392,24.69377,23.45332,21.65777,5880,-2.35
19.1002,18.05327,17.72587,17.61504,17.55536,6000,-1.5
20.62076,19.16264,18.58983,18.35603,18.8349,5285,-0.71
18.02317,17.05527,16.84201,16.77244,16.79004,7000,-2
18.73916,18.5613,18.62313,18.76871,18.97412,5856,-0.38
18.72531,17.54394,17.04801,16.88687,16.78905,5630,-0.45
20.25339,18.96535,19.0446,19.15457,19.19667,8500,-0.5
19.79271,19.71474,19.90666,20.13346,20.32722,5260,-1.05
18.011,16.85921,16.45752,16.28586,16.24621,5790,-0.65
17.79439,16.70793,16.49356,16.45081,16.49115,7000,-0.5
18.57913,17.50842,17.10566,16.99047,16.96561,5790,-0.65
